Time (s),Velocity (m/s),Gyroscope y (rad/s)
0.000000000E0,-8.888185289E-4,-2.167850071E-2
4.199218800E-2,-4.480290132E-3,-1.092753691E-1
8.395385700E-2,-3.753146901E-3,-9.154016831E-2
1.259155270E-1,-1.271350636E-3,-3.100855210E-2
1.679077150E-1,-1.826340619E-3,-4.454489315E-2
2.098693850E-1,-1.001528572E-3,-2.442752614E-2
2.518615720E-1,-1.122308170E-3,-2.737337000E-2
2.938232420E-1,-9.142375273E-4,-2.229847628E-2
3.357849120E-1,-2.198836383E-3,-5.363015568E-2
3.777771000E-1,-3.144207225E-3,-7.668798110E-2
4.197387700E-1,3.553650800E-3,8.667440975E-2
4.617004390E-1,3.189144449E-2,7.778401094E-1
5.036621090E-1,6.009318632E-2,1.465687471E0
5.456542970E-1,8.716709990E-2,2.126026827E0
5.876159670E-1,1.136809082E-1,2.772705078E0
6.296081540E-1,1.379209909E-1,3.363926607E0
6.715698240E-1,1.595406126E-1,3.891234454E0
7.135620120E-1,1.787245860E-1,4.359136245E0
7.555236820E-1,1.973792931E-1,4.814129100E0
7.975158690E-1,2.174340793E-1,5.303270228E0
8.394775390E-1,2.407082564E-1,5.870933084E0
8.814392090E-1,2.690796491E-1,6.562918270E0
9.234313960E-1,3.002255500E-1,7.322574391E0
9.653930660E-1,3.317723200E-1,8.092007805E0
1.007354736E0,3.625870155E-1,8.843585744E0
1.049346924E0,3.944369489E-1,9.620413388E0
1.091308594E0,4.284603631E-1,1.045025276E1
1.133300781E0,4.621371155E-1,1.127163696E1
1.175231934E0,4.956390650E-1,1.208875768E1
1.217224121E0,5.406019754E-1,1.318541403E1
1.259185791E0,5.877103245E-1,1.433439816E1
1.301177979E0,6.286833864E-1,1.533374113E1
1.343139648E0,6.539459372E-1,1.594990091E1
1.385101318E0,6.613657496E-1,1.613087194E1
1.427093506E0,6.790800907E-1,1.656292904E1
1.469055176E0,7.054449301E-1,1.720597391E1
1.511047363E0,7.404524294E-1,1.805981535E1
1.553009033E0,7.765029683E-1,1.893909679E1
1.595001221E0,8.156184827E-1,1.989313372E1
1.636962891E0,8.663082302E-1,2.112946903E1
1.678924561E0,9.068934138E-1,2.211935156E1
1.720886230E0,9.113097812E-1,2.222706784E1
1.762878418E0,9.228940977E-1,2.250961214E1
1.804870605E0,9.544974302E-1,2.328042513E1
1.846790562E0,9.920637862E-1,2.419667771E1
1.888782749E0,1.038663293E0,2.533325106E1
1.930744419E0,1.089512277E0,2.657347017E1
1.972706089E0,1.107920420E0,2.702244927E1
2.014698277E0,1.106628167E0,2.699093089E1
2.056659947E0,1.138868591E0,2.777728271E1
2.098652134E0,1.177025891E0,2.870794857E1
2.140613804E0,1.229984065E0,2.999961135E1
2.182605992E0,1.273189783E0,3.105340935E1
2.224567661E0,1.259318861E0,3.071509417E1
2.266559849E0,1.280735454E0,3.123745009E1
2.308491001E0,1.323468284E0,3.227971425E1
2.350483189E0,1.380778829E0,3.367753242E1
2.392475376E0,1.409180987E0,3.437026798E1
2.434437046E0,1.394916887E0,3.402236310E1
2.476429234E0,1.420264300E0,3.464059269E1
2.518360386E0,1.431062408E0,3.490396118E1
2.560352574E0,1.431062408E0,3.490396118E1
2.602314243E0,1.431062408E0,3.490396118E1
2.644306431E0,1.431062408E0,3.490396118E1
2.686268101E0,1.431062408E0,3.490396118E1
2.728229771E0,1.431062408E0,3.490396118E1
2.770221958E0,1.431062408E0,3.490396118E1
2.812183628E0,1.431062408E0,3.490396118E1
2.854175816E0,1.431062408E0,3.490396118E1
2.896137486E0,1.431062408E0,3.490396118E1
2.938129673E0,1.431062408E0,3.490396118E1
2.980091343E0,1.431062408E0,3.490396118E1
3.022053013E0,1.431062408E0,3.490396118E1
3.064045200E0,1.431062408E0,3.490396118E1
3.106006870E0,1.431062408E0,3.490396118E1
3.147968540E0,1.431062408E0,3.490396118E1
3.189930210E0,1.431062408E0,3.490396118E1
3.231922398E0,1.431062408E0,3.490396118E1
3.273884068E0,1.431062408E0,3.490396118E1
3.315876255E0,1.431062408E0,3.490396118E1
3.357837925E0,1.431062408E0,3.490396118E1
3.399799595E0,1.431062408E0,3.490396118E1
3.441791783E0,1.431062408E0,3.490396118E1
3.483753452E0,1.431062408E0,3.490396118E1
3.525745640E0,1.431062408E0,3.490396118E1
3.567707310E0,1.431062408E0,3.490396118E1
3.609699497E0,1.431062408E0,3.490396118E1
3.651661167E0,1.431062408E0,3.490396118E1
3.693622837E0,1.431062408E0,3.490396118E1
