"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
0.000000000E0,2.721787347E-3,6.638505724E-2
4.196167000E-2,4.293490242E-3,1.047192742E-1
8.398437500E-2,3.401921889E-3,8.297370462E-2
1.259460450E-1,4.152212704E-3,1.012734806E-1
1.679077140E-1,1.968427770E-3,4.801043342E-2
2.098999020E-1,-1.815962848E-3,-4.429177677E-2
2.518920890E-1,1.417559455E-4,3.457462086E-3
2.938537590E-1,5.090996237E-4,1.241706399E-2
3.358154290E-1,5.219798369E-4,1.273121553E-2
3.778076170E-1,1.719177246E-3,4.193115234E-2
4.197998040E-1,-1.053012624E-3,-2.568323472E-2
4.617919920E-1,-4.003906250E-4,-9.765625000E-3
5.037536620E-1,-2.437709135E-3,-5.945632037E-2
5.457458490E-1,-2.956671322E-3,-7.211393469E-2
5.877075190E-1,-1.564173081E-3,-3.815056296E-2
6.296997070E-1,-2.170499914E-3,-5.293902229E-2
6.716613770E-1,-3.001457663E-4,-7.320628447E-3
7.136535640E-1,5.418779261E-3,1.321653478E-1
7.556457520E-1,2.384226810E-2,5.815187342E-1
7.976074220E-1,4.159528665E-2,1.014519187E0
8.395996090E-1,6.587386277E-2,1.606679580E0
8.815917970E-1,9.553997444E-2,2.330243279E0
9.235534660E-1,1.328623056E-1,3.240544039E0
9.655456540E-1,1.655498576E-1,4.037801406E0
1.007507324E0,1.966650669E-1,4.796708948E0
1.049468994E0,2.270171419E-1,5.537003461E0
1.091461181E0,2.572563495E-1,6.274545109E0
1.133453369E0,2.870816974E-1,7.001992618E0
1.175445556E0,3.190549864E-1,7.781828936E0
1.217407226E0,3.572225907E-1,8.712746115E0
1.259399414E0,4.016203173E-1,9.795617496E0
1.301361084E0,4.427887169E-1,1.079972480E1
1.343353271E0,4.768481221E-1,1.163044200E1
1.385314941E0,5.067224516E-1,1.235908419E1
1.427307129E0,5.325656792E-1,1.298940681E1
1.469268798E0,5.552977097E-1,1.354384658E1
1.511260986E0,5.849484756E-1,1.426703599E1
1.553253173E0,6.174818331E-1,1.506053251E1
1.595214843E0,6.414058721E-1,1.564404566E1
1.637207031E0,6.718787635E-1,1.638728692E1
1.679168701E0,7.024466741E-1,1.713284571E1
1.721160888E0,7.485606339E-1,1.825757644E1
1.763122558E0,7.889299819E-1,1.924219468E1
1.805114746E0,8.153795363E-1,1.988730576E1
1.847106933E0,8.338416290E-1,2.033760071E1
1.889068603E0,8.621050119E-1,2.102695151E1
1.931060791E0,8.888834534E-1,2.168008423E1
1.973052978E0,9.213397504E-1,2.247170123E1
2.015014648E0,9.599286481E-1,2.341289386E1
2.056976318E0,1.009107620E0,2.461238098E1
2.098968506E0,1.031893600E0,2.516813660E1
2.140960693E0,1.045574411E0,2.550181490E1
2.182922363E0,1.072617485E0,2.616140209E1
2.224914550E0,1.105096893E0,2.695358276E1
2.266876220E0,1.145101437E0,2.792930334E1
2.308857784E0,1.195264384E0,2.915278985E1
2.350819454E0,1.207285560E0,2.944598927E1
2.392811641E0,1.230533903E0,3.001302203E1
2.434803829E0,1.251267035E0,3.051870817E1
2.476765499E0,1.297450401E0,3.164513173E1
2.518757686E0,1.343980612E0,3.278001494E1
2.560749874E0,1.354709425E0,3.304169329E1
2.602711544E0,1.369836683E0,3.341065081E1
2.644703731E0,1.395012017E0,3.402468334E1
2.686665401E0,1.429091846E0,3.485589869E1
2.728657589E0,1.431062408E0,3.490396118E1
2.770619258E0,1.431062408E0,3.490396118E1
2.812611446E0,1.431062408E0,3.490396118E1
2.854603633E0,1.431062408E0,3.490396118E1
2.896565303E0,1.431062408E0,3.490396118E1
2.938557491E0,1.431062408E0,3.490396118E1
2.980519161E0,1.431062408E0,3.490396118E1
3.022511348E0,1.431062408E0,3.490396118E1
3.064473018E0,1.431062408E0,3.490396118E1
3.106465206E0,1.431062408E0,3.490396118E1
3.148457393E0,1.431062408E0,3.490396118E1
3.190419063E0,1.431062408E0,3.490396118E1
3.232411251E0,1.431062408E0,3.490396118E1
3.274372921E0,1.431062408E0,3.490396118E1
3.316365108E0,1.431062408E0,3.490396118E1
3.358326778E0,1.431062408E0,3.490396118E1
3.400318965E0,1.431062408E0,3.490396118E1
3.442311153E0,1.431062408E0,3.490396118E1
3.484272823E0,1.431062408E0,3.490396118E1
3.526265010E0,1.431062408E0,3.490396118E1
3.568226680E0,1.431062408E0,3.490396118E1
3.610218868E0,1.431062408E0,3.490396118E1
3.652211055E0,1.431062408E0,3.490396118E1
3.694172725E0,1.431062408E0,3.490396118E1
